title,rating,count
Forrest Gump ,4.164133738601824,329
"Shawshank Redemption, The ",4.429022082018927,317
Pulp Fiction ,4.197068403908795,307
"Silence of the Lambs, The ",4.161290322580645,279
"Matrix, The ",4.192446043165468,278
Star Wars: Episode IV - A New Hope ,4.231075697211155,251
Jurassic Park ,3.75,238
Braveheart ,4.031645569620253,237
Terminator 2: Judgment Day ,3.970982142857143,224
Schindler's List ,4.225,220
Fight Club ,4.272935779816514,218
Toy Story ,3.9209302325581397,215
Star Wars: Episode V - The Empire Strikes Back ,4.2156398104265405,211
"Usual Suspects, The ",4.237745098039215,204
American Beauty ,4.056372549019608,204
Seven ,3.9753694581280787,203
Independence Day ,3.4455445544554455,202
Apollo 13 ,3.845771144278607,201
Raiders of the Lost Ark ,4.2075,200
"Lord of the Rings: The Fellowship of the Ring, The ",4.106060606060606,198
Star Wars: Episode VI - Return of the Jedi ,4.137755102040816,196
Batman ,3.417525773195876,194
"Godfather, The ",4.2890625,192
"Fugitive, The ",3.986910994764398,191
Saving Private Ryan ,4.1462765957446805,188
"Lord of the Rings: The Two Towers, The ",4.0212765957446805,188
"Lord of the Rings: The Return of the King, The ",4.118918918918919,185
Aladdin ,3.7923497267759565,183
Fargo ,4.116022099447513,181
Gladiator ,3.958100558659218,179
"Sixth Sense, The ",3.893854748603352,179
True Lies ,3.497191011235955,178
Twelve Monkeys ,3.983050847457627,177
"Lion King, The ",3.941860465116279,172
Back to the Future ,4.038011695906433,171
Speed ,3.5292397660818713,171
Shrek ,3.8676470588235294,170
Men in Black ,3.487878787878788,165
Dances with Wolves ,3.8353658536585367,164
Mission: Impossible ,3.537037037037037,162
Ace Ventura: Pet Detective ,3.040372670807453,161
Memento ,4.122641509433962,159
"Mask, The ",3.1847133757961785,157
Beauty and the Beast ,3.7467532467532467,154
"Dark Knight, The ",4.238255033557047,149
Pirates of the Caribbean: The Curse of the Black Pearl ,3.778523489932886,149
Alien ,3.969178082191781,146
Titanic ,3.421232876712329,146
Die Hard ,3.8620689655172415,145
Die Hard: With a Vengeance ,3.5555555555555554,144
Mrs. Doubtfire ,3.388888888888889,144
Inception ,4.066433566433567,143
Groundhog Day ,3.944055944055944,143
"Princess Bride, The ",4.232394366197183,142
Good Will Hunting ,4.078014184397163,141
Finding Nemo ,3.9609929078014185,141
Indiana Jones and the Last Crusade ,4.046428571428572,140
Stargate ,3.375,140
Star Wars: Episode I - The Phantom Menace ,3.107142857142857,140
Batman Forever ,2.9160583941605838,137
Monty Python and the Holy Grail ,4.161764705882353,136
Pretty Woman ,3.4851851851851854,135
One Flew Over the Cuckoo's Nest ,4.203007518796992,133
Léon: The Professional ,4.018796992481203,133
X-Men ,3.699248120300752,133
Dumb & Dumber ,3.0601503759398496,133
"Monsters, Inc. ",3.871212121212121,132
GoldenEye ,3.496212121212121,132
Reservoir Dogs ,4.202290076335878,131
Eternal Sunshine of the Spotless Mind ,4.1603053435114505,131
Kill Bill: Vol. 1 ,3.9618320610687023,131
"Terminator, The ",3.8969465648854964,131
Ocean's Eleven ,3.826923076923077,130
"Godfather: Part II, The ",4.25968992248062,129
American History X ,4.217054263565892,129
Ghostbusters ,3.734375,128
Babe ,3.65234375,128
Goodfellas ,4.25,126
Aliens ,3.9642857142857144,126
"Incredibles, The ",3.836,125
"Truman Show, The ",3.812,125
Blade Runner ,4.100806451612903,124
Twister ,3.306451612903226,124
"Beautiful Mind, A ",4.0,123
E.T. the Extra-Terrestrial ,3.7663934426229506,122
Spider-Man ,3.540983606557377,122
"Bourne Identity, The ",3.7851239669421486,121
"Rock, The ",3.6404958677685952,121
Austin Powers: The Spy Who Shagged Me ,3.1983471074380163,121
Amelie ,4.183333333333334,120
"Clockwork Orange, A ",3.995833333333333,120
Minority Report ,3.6375,120
Willy Wonka & the Chocolate Factory ,3.8739495798319328,119
Batman Begins ,3.8620689655172415,116
"Fifth Element, The ",3.7456896551724137,116
Home Alone ,2.9956896551724137,116
Catch Me If You Can ,3.9217391304347826,115
Ghost ,3.4347826086956523,115
Waterworld ,2.9130434782608696,115
"Breakfast Club, The ",3.7787610619469025,113
"Net, The ",3.0401785714285716,112
"Green Mile, The ",4.148648648648648,111
Kill Bill: Vol. 2 ,3.868181818181818,110
"Crouching Tiger, Hidden Dragon ",3.8363636363636364,110
Clear and Present Danger ,3.6045454545454545,110
Jumanji ,3.4318181818181817,110
"Shining, The ",4.08256880733945,109
Donnie Darko ,3.981651376146789,109
2001: A Space Odyssey ,3.8944954128440368,109
Ferris Bueller's Day Off ,3.8394495412844036,109
Interview with the Vampire: The Vampire Chronicles ,3.458715596330275,109
Indiana Jones and the Temple of Doom ,3.638888888888889,108
Star Trek: Generations ,3.3935185185185186,108
"Departed, The ",4.252336448598131,107
Apocalypse Now ,4.219626168224299,107
Harry Potter and the Sorcerer's Stone ,3.7616822429906542,107
"Big Lebowski, The ",3.9245283018867925,106
Sleepless in Seattle ,3.4716981132075473,106
Up ,4.004761904761905,105
There's Something About Mary ,3.676190476190476,105
Planet of the Apes ,3.3095238095238093,105
Taxi Driver ,4.105769230769231,104
WALL·E ,4.0576923076923075,104
Clerks ,3.855769230769231,104
Clueless ,3.293269230769231,104
Crimson Tide ,3.6359223300970873,103
Four Weddings and a Funeral ,3.5194174757281553,103
American Pie ,3.378640776699029,103
Full Metal Jacket ,4.098039215686274,102
Trainspotting ,4.03921568627451,102
Heat ,3.946078431372549,102
Harry Potter and the Chamber of Secrets ,3.5980392156862746,102
"Firm, The ",3.5294117647058822,102
Outbreak ,3.4257425742574257,101
Cliffhanger ,3.0346534653465347,101
Casablanca ,4.24,100
V for Vendetta ,3.885,100
Cast Away ,3.7,100
Austin Powers: International Man of Mystery ,3.535,100
Being John Malkovich ,3.9545454545454546,99
Happy Gilmore ,3.4393939393939394,99
While You Were Sleeping ,3.4693877551020407,98
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,4.268041237113402,97
L.A. Confidential ,4.061855670103093,97
Toy Story 2 ,3.8608247422680413,97
Avatar ,3.6030927835051547,97
Who Framed Roger Rabbit? ,3.5721649484536084,97
Requiem for a Dream ,3.921875,96
Rain Man ,3.8072916666666665,96
As Good as It Gets ,3.6979166666666665,96
Total Recall ,3.6145833333333335,96
"Matrix Reloaded, The ",3.3541666666666665,96
"Nutty Professor, The ",2.6927083333333335,96
Iron Man ,3.789473684210526,95
Office Space ,4.090425531914893,94
"O Brother, Where Art Thou? ",3.8085106382978724,94
Snatch ,4.155913978494624,93
Harry Potter and the Prisoner of Azkaban ,3.913978494623656,93
"Nightmare Before Christmas, The ",3.553763440860215,93
"Mummy, The ",3.1344086021505375,93
"Wizard of Oz, The ",3.880434782608696,92
Psycho ,3.8260869565217392,92
Shakespeare in Love ,3.777173913043478,92
Shrek 2 ,3.5760869565217392,92
"Bug's Life, A ",3.516304347826087,92
Natural Born Killers ,3.233695652173913,92
Star Wars: Episode II - Attack of the Clones ,3.157608695652174,92
Armageddon ,3.0543478260869565,92
Jaws ,4.0054945054945055,91
Stand by Me ,4.0054945054945055,91
Star Trek: First Contact ,3.879120879120879,91
Big ,3.71978021978022,91
Beetlejuice ,3.4725274725274726,91
Meet the Parents ,3.4175824175824174,91
101 Dalmatians ,3.2472527472527473,91
"Prestige, The ",4.0055555555555555,90
"Hunt for Red October, The ",3.8722222222222222,90
Monty Python's Life of Brian ,3.9269662921348316,89
Get Shorty ,3.49438202247191,89
Life Is Beautiful ,4.1477272727272725,88
Inglourious Basterds ,4.136363636363637,88
Back to the Future Part III ,3.3693181818181817,88
Ace Ventura: When Nature Calls ,2.727272727272727,88
Spirited Away ,4.155172413793103,87
Airplane! ,3.8563218390804597,87
"Jungle Book, The ",3.7126436781609193,87
Back to the Future Part II ,3.5057471264367814,87
Dead Poets Society ,3.9593023255813953,86
Gattaca ,3.953488372093023,86
Casino Royale ,3.86046511627907,86
"Birdcage, The ",3.494186046511628,86
Mars Attacks! ,3.0930232558139537,86
When Harry Met Sally... ,3.8588235294117648,85
Ice Age ,3.6882352941176473,85
Jerry Maguire ,3.5941176470588236,85
Broken Arrow ,3.023529411764706,85
Rear Window ,4.261904761904762,84
Sin City ,3.857142857142857,84
"Blues Brothers, The ",3.8095238095238093,84
Sabrina ,3.392857142857143,84
Addams Family Values ,3.1011904761904763,84
Almost Famous ,3.8674698795180724,83
Top Gun ,3.3012048192771086,83
Casino ,3.926829268292683,82
Contact ,3.652439024390244,82
Pan's Labyrinth ,3.814814814814815,81
"Bourne Ultimatum, The ",3.697530864197531,81
Quiz Show ,3.5185185185185186,81
"Santa Clause, The ",3.2037037037037037,81
Demolition Man ,3.0925925925925926,81
Mr. Holland's Opus ,3.70625,80
Edward Scissorhands ,3.7,80
300,3.68125,80
"Avengers, The ",3.65625,80
Starship Troopers ,3.33125,80
"Graduate, The ",4.063291139240507,79
Spider-Man 2 ,3.8037974683544302,79
Dogma ,3.6455696202531644,79
King Kong ,3.3544303797468356,79
"Matrix Revolutions, The ",3.151898734177215,79
Chicken Run ,3.551282051282051,78
Star Wars: Episode III - Revenge of the Sith ,3.4294871794871793,78
Shaun of the Dead ,4.0064935064935066,77
Little Miss Sunshine ,3.883116883116883,77
What's Eating Gilbert Grape ,3.7662337662337664,77
"Game, The ",3.7012987012987013,77
Snow White and the Seven Dwarfs ,3.616883116883117,77
Face/Off ,3.3701298701298703,77
Mission: Impossible II ,2.7142857142857144,77
Amadeus ,4.184210526315789,76
"Dark Knight Rises, The ",3.9934210526315788,76
"South Park: Bigger, Longer and Uncut ",3.861842105263158,76
X2: X-Men United ,3.723684210526316,76
"Hangover, The ",3.6315789473684212,76
Leaving Las Vegas ,3.625,76
Dave ,3.5460526315789473,76
RoboCop ,3.289473684210526,76
City of God ,4.1466666666666665,75
Run Lola Run ,4.0,75
"Bourne Supremacy, The ",3.7866666666666666,75
Lethal Weapon ,3.6733333333333333,75
High Fidelity ,3.6666666666666665,75
Galaxy Quest ,3.58,75
Lost in Translation ,4.033783783783784,74
"40-Year-Old Virgin, The ",3.5472972972972974,74
Maverick ,3.5,74
Liar Liar ,3.0337837837837838,74
Interstellar ,3.993150684931507,73
Unbreakable ,3.4794520547945207,73
"Good, the Bad and the Ugly, The ",4.145833333333333,72
Ratatouille ,3.8680555555555554,72
Pirates of the Caribbean: Dead Man's Chest ,3.5069444444444446,72
Charlie's Angels ,2.7222222222222223,72
Django Unchained ,3.943661971830986,71
"Fish Called Wanda, A ",3.9225352112676055,71
Mary Poppins ,3.887323943661972,71
Harry Potter and the Goblet of Fire ,3.816901408450704,71
Slumdog Millionaire ,3.8098591549295775,71
Bruce Almighty ,3.316901408450704,71
Traffic ,3.9,70
In the Line of Fire ,3.692857142857143,70
Ed Wood ,3.6785714285714284,70
"American President, The ",3.6714285714285713,70
Erin Brockovich ,3.5285714285714285,70
Scream ,3.2,70
Citizen Kane ,4.043478260869565,69
Young Frankenstein ,3.9927536231884058,69
Scarface ,3.927536231884058,69
Big Fish ,3.8333333333333335,69
"Italian Job, The ",3.652173913043478,69
"Patriot, The ",3.449275362318841,69
Alice in Wonderland ,3.181159420289855,69
Robin Hood: Men in Tights ,3.130434782608696,69
"Royal Tenenbaums, The ",3.6838235294117645,68
Die Hard 2 ,3.4044117647058822,68
Legends of the Fall ,3.3970588235294117,68
"Three Musketeers, The ",3.2941176470588234,68
Pocahontas ,3.1470588235294117,68
Grease ,3.139705882352941,68
"Honey, I Shrunk the Kids ",2.7573529411764706,68
"Lock, Stock & Two Smoking Barrels ",4.052238805970149,67
Shutter Island ,4.022388059701493,67
Dead Man Walking ,3.8358208955223883,67
Sense and Sensibility ,3.7761194029850746,67
"Girl with the Dragon Tattoo, The ",3.656716417910448,67
Enemy of the State ,3.4925373134328357,67
"Little Mermaid, The ",3.425373134328358,67
"Lost World: Jurassic Park, The ",2.753731343283582,67
This Is Spinal Tap ,4.015151515151516,66
Philadelphia ,3.6136363636363638,66
Desperado ,3.5606060606060606,66
School of Rock ,3.4015151515151514,66
"Untouchables, The ",3.9384615384615387,65
Tombstone ,3.8153846153846156,65
True Romance ,3.8,65
District 9 ,3.776923076923077,65
Juno ,3.769230769230769,65
Bridget Jones's Diary ,3.623076923076923,65
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,3.3461538461538463,65
Gone in 60 Seconds ,3.2153846153846155,65
Dragonheart ,3.0923076923076924,65
Austin Powers in Goldmember ,2.8461538461538463,65
"Sting, The ",3.9765625,64
Children of Men ,3.9453125,64
"Sound of Music, The ",3.9375,64
No Country for Old Men ,3.8984375,64
Rocky ,3.828125,64
"Crow, The ",3.609375,64
Legally Blonde ,3.15625,64
Eraser ,3.109375,64
Miss Congeniality ,3.0546875,64
"Blair Witch Project, The ",2.796875,64
Platoon ,3.984126984126984,63
"Rocky Horror Picture Show, The ",3.3412698412698414,63
Mr. & Mrs. Smith ,3.253968253968254,63
Signs ,3.1666666666666665,63
Coneheads ,2.4206349206349205,63
Butch Cassidy and the Sundance Kid ,3.943548387096774,62
Blazing Saddles ,3.935483870967742,62
"Last Samurai, The ",3.903225806451613,62
Star Trek II: The Wrath of Khan ,3.7661290322580645,62
Animal House ,3.693548387096774,62
I Am Legend ,3.4838709677419355,62
"Abyss, The ",3.475806451612903,62
Sleepy Hollow ,3.475806451612903,62
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The ",3.443548387096774,62
Casper ,2.806451612903226,62
Judge Dredd ,2.6693548387096775,62
"Maltese Falcon, The ",4.016393442622951,61
Hot Fuzz ,4.0,61
Crash ,3.7459016393442623,61
Superman ,3.6065573770491803,61
Predator ,3.581967213114754,61
"Piano, The ",3.540983606557377,61
"I, Robot ",3.4918032786885247,61
Pleasantville ,3.4836065573770494,61
Wayne's World ,3.4754098360655736,61
Pinocchio ,3.4508196721311477,61
Charlie and the Chocolate Factory ,3.0,61
Men in Black II ,2.959016393442623,61
Vertigo ,4.025,60
Close Encounters of the Third Kind ,3.7416666666666667,60
My Big Fat Greek Wedding ,3.2666666666666666,60
"Mask of Zorro, The ",3.1,60
Batman Returns ,3.025,60
Hot Shots! Part Deux ,2.8666666666666667,60
Chinatown ,4.211864406779661,59
Brazil ,4.177966101694915,59
Guardians of the Galaxy ,4.0508474576271185,59
Star Trek ,3.864406779661017,59
American Psycho ,3.788135593220339,59
Love Actually ,3.788135593220339,59
Grosse Pointe Blank ,3.610169491525424,59
Spaceballs ,3.483050847457627,59
My Cousin Vinny ,3.26271186440678,59
Con Air ,3.0338983050847457,59
Beverly Hills Cop III ,2.7203389830508473,59
12 Angry Men ,4.163793103448276,58
To Kill a Mockingbird ,4.120689655172414,58
"King's Speech, The ",4.043103448275862,58
It's a Wonderful Life ,4.0344827586206895,58
Raising Arizona ,3.9913793103448274,58
28 Days Later ,3.9741379310344827,58
Harry Potter and the Half-Blood Prince ,3.8879310344827585,58
Annie Hall ,3.8706896551724137,58
Harry Potter and the Order of the Phoenix ,3.8620689655172415,58
Sherlock Holmes ,3.853448275862069,58
Bowling for Columbine ,3.7758620689655173,58
Wedding Crashers ,3.5086206896551726,58
"Truth About Cats & Dogs, The ",3.3879310344827585,58
Blade ,3.3620689655172415,58
Air Force One ,3.3448275862068964,58
Naked Gun 33 1/3: The Final Insult ,3.060344827586207,58
Cool Hand Luke ,4.271929824561403,57
North by Northwest ,4.184210526315789,57
"Social Network, The ",3.8859649122807016,57
"Few Good Men, A ",3.789473684210526,57
Anchorman: The Legend of Ron Burgundy ,3.7719298245614037,57
"Goonies, The ",3.5701754385964914,57
"Client, The ",3.3859649122807016,57
Crocodile Dundee ,3.175438596491228,57
Congo ,2.8771929824561404,57
Wallace & Gromit: The Wrong Trousers ,4.035714285714286,56
"Full Monty, The ",3.7589285714285716,56
Election ,3.6607142857142856,56
Rushmore ,3.544642857142857,56
Field of Dreams ,3.517857142857143,56
Notting Hill ,3.455357142857143,56
Pirates of the Caribbean: At World's End ,3.4375,56
"Wedding Singer, The ",3.419642857142857,56
"Fly, The ",3.3839285714285716,56
A.I. Artificial Intelligence ,3.3392857142857144,56
Toy Story 3 ,4.109090909090909,55
"Christmas Story, A ",3.9727272727272727,55
Superbad ,3.8636363636363638,55
"Thomas Crown Affair, The ",3.690909090909091,55
"Others, The ",3.6272727272727274,55
Moulin Rouge ,3.590909090909091,55
Gangs of New York ,3.518181818181818,55
From Dusk Till Dawn ,3.5090909090909093,55
Miracle on 34th Street ,3.481818181818182,55
Lady and the Tramp ,3.4,55
City Slickers II: The Legend of Curly's Gold ,2.6454545454545455,55
"Wolf of Wall Street, The ",3.9166666666666665,54
Deadpool ,3.8333333333333335,54
10 Things I Hate About You ,3.5277777777777777,54
Zoolander ,3.509259259259259,54
Romancing the Stone ,3.4537037037037037,54
Kung Fu Panda ,3.4444444444444446,54
The Hunger Games ,3.435185185185185,54
What Women Want ,3.138888888888889,54
First Knight ,3.0833333333333335,54
"Cable Guy, The ",2.8055555555555554,54
How to Train Your Dragon ,3.943396226415094,53
Zombieland ,3.8773584905660377,53
Goldfinger ,3.839622641509434,53
"Exorcist, The ",3.80188679245283,53
Fantasia ,3.7830188679245285,53
Blood Diamond ,3.7641509433962264,53
Best in Show ,3.688679245283019,53
Eyes Wide Shut ,3.4622641509433962,53
Hook ,3.358490566037736,53
Last Action Hero ,2.9339622641509435,53
Arachnophobia ,2.811320754716981,53
Space Jam ,2.707547169811321,53
Johnny Mnemonic ,2.6792452830188678,53
Wild Wild West ,2.207547169811321,53
Million Dollar Baby ,3.8461538461538463,52
Caddyshack ,3.826923076923077,52
"Grand Budapest Hotel, The ",3.7788461538461537,52
Donnie Brasco ,3.7403846153846154,52
Magnolia ,3.7115384615384617,52
Mystic River ,3.7115384615384617,52
Knocked Up ,3.6538461538461537,52
Chasing Amy ,3.576923076923077,52
Disclosure ,3.5384615384615383,52
X-Men: The Last Stand ,3.355769230769231,52
Grumpier Old Men ,3.2596153846153846,52
War of the Worlds ,3.144230769230769,52
Army of Darkness ,4.03921568627451,51
Mulholland Drive ,3.843137254901961,51
Blow ,3.8137254901960786,51
Training Day ,3.7941176470588234,51
Chocolat ,3.5098039215686274,51
The Devil's Advocate ,3.411764705882353,51
Bad Boys ,3.2450980392156863,51
Splash ,3.1176470588235294,51
The Imitation Game ,4.02,50
Some Like It Hot ,4.01,50
Serenity ,3.94,50
Harry Potter and the Deathly Hallows: Part 2 ,3.91,50
Black Hawk Down ,3.81,50
Skyfall ,3.81,50
Tommy Boy ,3.78,50
"Postman, The ",3.68,50
Super Size Me ,3.51,50
Tron ,3.34,50
"Hunchback of Notre Dame, The ",3.33,50
You've Got Mail ,3.12,50
"Day After Tomorrow, The ",3.05,50
Scary Movie ,2.92,50
"Thing, The ",3.8979591836734695,49
Little Women ,3.877551020408163,49
Chicago ,3.7244897959183674,49
Sixteen Candles ,3.6020408163265305,49
Road to Perdition ,3.520408163265306,49
James and the Giant Peach ,3.4489795918367347,49
"Talented Mr. Ripley, The ",3.336734693877551,49
Billy Madison ,3.326530612244898,49
"Da Vinci Code, The ",3.122448979591837,49
Father of the Bride Part II ,3.0714285714285716,49
Superman II ,3.020408163265306,49
Godzilla ,2.142857142857143,49
Seven Samurai ,4.1875,48
The Martian ,4.0,48
Princess Mononoke ,3.9583333333333335,48
Wallace & Gromit: A Close Shave ,3.8958333333333335,48
Dark City ,3.8229166666666665,48
Hotel Rwanda ,3.7916666666666665,48
Highlander ,3.7291666666666665,48
Garden State ,3.7083333333333335,48
Jackie Brown ,3.6979166666666665,48
Peter Pan ,3.5104166666666665,48
Troy ,3.4270833333333335,48
Big Daddy ,3.1979166666666665,48
"Ring, The ",3.15625,48
Nine Months ,2.8229166666666665,48
Singin' in the Rain ,4.074468085106383,47
Harry Potter and the Deathly Hallows: Part 1 ,3.9893617021276597,47
Pi ,3.851063829787234,47
Sling Blade ,3.8404255319148937,47
Mad Max: Fury Road ,3.8191489361702127,47
50 First Dates ,3.5531914893617023,47
Iron Man 2 ,3.5106382978723403,47
Poltergeist ,3.425531914893617,47
"Terminal, The ",3.3191489361702127,47
Basic Instinct ,3.1914893617021276,47
Lethal Weapon 2 ,3.1808510638297873,47
Alien³ ,3.148936170212766,47
Analyze This ,3.095744680851064,47
Ghostbusters II ,3.0,47
"Pianist, The ",4.108695652173913,46
Unforgiven ,4.032608695652174,46
Fear and Loathing in Las Vegas ,3.967391304347826,46
Adaptation ,3.9456521739130435,46
Blue Velvet ,3.9456521739130435,46
Gran Torino ,3.9456521739130435,46
M*A*S*H ,3.9347826086956523,46
"Pursuit of Happyness, The ",3.7934782608695654,46
"Illusionist, The ",3.7282608695652173,46
The Butterfly Effect ,3.630434782608696,46
"Simpsons Movie, The ",3.619565217391304,46
Rumble in the Bronx ,3.5434782608695654,46
Sneakers ,3.4782608695652173,46
Beverly Hills Cop ,3.402173913043478,46
"Karate Kid, The ",3.380434782608696,46
Phenomenon ,3.3369565217391304,46
"Me, Myself & Irene ",3.0869565217391304,46
Lethal Weapon 3 ,2.9347826086956523,46
Mortal Kombat ,2.5434782608695654,46
Lawrence of Arabia ,4.3,45
"Bridge on the River Kwai, The ",4.122222222222222,45
"English Patient, The ",3.7111111111111112,45
Three Kings ,3.7111111111111112,45
Bill & Ted's Excellent Adventure ,3.7,45
Gone with the Wind ,3.6444444444444444,45
Mulan ,3.566666666666667,45
French Kiss ,3.477777777777778,45
"League of Their Own, A ",3.466666666666667,45
Payback ,3.422222222222222,45
"Aristocats, The ",3.411111111111111,45
"Godfather: Part III, The ",3.3555555555555556,45
Antz ,3.2444444444444445,45
Hitch ,3.1666666666666665,45
"Mummy Returns, The ",3.088888888888889,45
American Pie 2 ,3.066666666666667,45
"Fast and the Furious, The ",3.066666666666667,45
Tomorrow Never Dies ,3.066666666666667,45
"Cell, The ",3.0444444444444443,45
Star Trek: The Motion Picture ,3.0444444444444443,45
Terminator 3: Rise of the Machines ,3.0444444444444443,45
Alien: Resurrection ,2.922222222222222,45
Species ,2.6666666666666665,45
Edge of Tomorrow ,3.977272727272727,44
Equilibrium ,3.875,44
Misery ,3.840909090909091,44
Much Ado About Nothing ,3.7954545454545454,44
Collateral ,3.7613636363636362,44
About a Boy ,3.715909090909091,44
Scott Pilgrim vs. the World ,3.7045454545454546,44
Stranger than Fiction ,3.6931818181818183,44
"Birds, The ",3.602272727272727,44
Rob Roy ,3.5454545454545454,44
Corpse Bride ,3.534090909090909,44
Cinderella ,3.4886363636363638,44
"Hitchhiker's Guide to the Galaxy, The ",3.4204545454545454,44
Vanilla Sky ,3.4204545454545454,44
"Perfect Storm, The ",3.1704545454545454,44
Spider-Man 3 ,3.0,44
Escape from L.A. ,2.9204545454545454,44
"Boondock Saints, The ",4.22093023255814,43
"Great Escape, The ",4.127906976744186,43
Watchmen ,3.988372093023256,43
American Graffiti ,3.8488372093023258,43
"Deer Hunter, The ",3.8255813953488373,43
Inside Out ,3.813953488372093,43
"Good Morning, Vietnam ",3.802325581395349,43
X-Men: First Class ,3.7906976744186047,43
Hero ,3.755813953488372,43
Kick-Ass ,3.6511627906976742,43
"NeverEnding Story, The ",3.5813953488372094,43
Ronin ,3.5232558139534884,43
Star Trek IV: The Voyage Home ,3.4767441860465116,43
I.Q. ,3.453488372093023,43
Ocean's Twelve ,3.2906976744186047,43
Cocoon ,3.2674418604651163,43
Tin Cup ,3.1744186046511627,43
Shanghai Noon ,3.1511627906976742,43
Deep Impact ,3.0697674418604652,43
Entrapment ,2.988372093023256,43
Pearl Harbor ,2.9651162790697674,43
Conspiracy Theory ,2.941860465116279,43
Dazed and Confused ,3.9285714285714284,42
"Manchurian Candidate, The ",3.9047619047619047,42
"Producers, The ",3.8452380952380953,42
Labyrinth ,3.8214285714285716,42
Carlito's Way ,3.738095238095238,42
Black Swan ,3.630952380952381,42
Taken ,3.619047619047619,42
"Whole Nine Yards, The ",3.5238095238095237,42
Fast Times at Ridgemont High ,3.4761904761904763,42
Robin Hood ,3.4642857142857144,42
"Crying Game, The ",3.4404761904761907,42
Risky Business ,3.4404761904761907,42
"X-Files: Fight the Future, The ",3.4404761904761907,42
"Naked Gun: From the Files of Police Squad!, The ",3.4047619047619047,42
Dirty Dancing ,3.369047619047619,42
Kingpin ,3.369047619047619,42
Star Trek VI: The Undiscovered Country ,3.3452380952380953,42
That Thing You Do! ,3.2738095238095237,42
Rush Hour ,3.261904761904762,42
Star Trek III: The Search for Spock ,3.261904761904762,42
Runaway Bride ,2.8333333333333335,42
"Flintstones, The ",2.357142857142857,42
Batman & Robin ,2.2142857142857144,42
Glory ,4.170731707317073,41
In Bruges ,4.158536585365853,41
Into the Wild ,3.902439024390244,41
Big Hero 6 ,3.8536585365853657,41
Star Wars: Episode VII - The Force Awakens ,3.8536585365853657,41
Remember the Titans ,3.7439024390243905,41
Heathers ,3.731707317073171,41
Time Bandits ,3.731707317073171,41
Dune ,3.524390243902439,41
Thelma & Louise ,3.4634146341463414,41
Insomnia ,3.3902439024390243,41
Cars ,3.3780487804878048,41
Executive Decision ,3.3780487804878048,41
Gremlins ,3.3780487804878048,41
Hellboy ,3.3780487804878048,41
"Knight's Tale, A ",3.341463414634146,41
So I Married an Axe Murderer ,3.317073170731707,41
8 Mile ,3.292682926829268,41
Road Trip ,3.0853658536585367,41
Fantastic Four ,2.682926829268293,41
Striptease ,2.4146341463414633,41
"Boot, Das ",4.2125,40
Raging Bull ,4.1875,40
Howl's Moving Castle ,4.075,40
Whiplash ,4.075,40
"Road Warrior, The ",4.0375,40
Monty Python's The Meaning of Life ,3.95,40
Searching for Bobby Fischer ,3.875,40
"Hobbit: An Unexpected Journey, The ",3.8125,40
Inside Man ,3.8,40
Witness ,3.65,40
Don Juan DeMarco ,3.6125,40
"Hudsucker Proxy, The ",3.55,40
Enemy at the Gates ,3.5125,40
My Best Friend's Wedding ,3.5,40
Madagascar ,3.375,40
Nell ,3.3375,40
Willow ,3.3375,40
Bend It Like Beckham ,3.3,40
"River Wild, The ",3.25,40
Cruel Intentions ,3.225,40
Lara Croft: Tomb Raider ,2.9,40
Old Boy ,4.089743589743589,39
Boogie Nights ,4.076923076923077,39
"Iron Giant, The ",4.051282051282051,39
Go ,3.9615384615384617,39
"Fistful of Dollars, A ",3.9358974358974357,39
Say Anything... ,3.923076923076923,39
"French Connection, The ",3.871794871794872,39
Cape Fear ,3.8461538461538463,39
"Last of the Mohicans, The ",3.8333333333333335,39
